product_id,product_name,department,category,subcategory,product_type,description,features,color,material,size_range,price,rating,reviews_count,tags,brand,stock_status,keywords
PBXE83RUBFZTFGFY,Chumbak Pouches Graphic Art Cloth Pencil Box,Toys & School Supplies,School Supplies,Geometry & Pencil Boxes,Chumbak Geometry & Pencil Boxes,"Chumbak Pouches Graphic Art Cloth Pencil Box (Set of 1, Multicolor) Price: Rs. 395 A whole bunch of crazy designs for your brand new pencil pouch are here. Pack your knick knacks, cosmetics or just about anything that comes to mind in it. Most importantly, don't forget to flaunt it. Get it today! A whole bunch of crazy designs for your brand new pencil pouch are here. Pack your knick knacks, cosmetics or just about anything that comes to mind in it. Most importantly, don't forget to flaunt it. Get it today!",,,,,395.0,0.0,0,"chumbak, geometry, pencil, boxes, toys, school, supplies",Unknown,In Stock,"chumbak pouches graphic art cloth pencil box, chumbak, geometry, pencil, boxes, toys, school, supplies"
PBXEASWH77XCQQHQ,Cutebaby Mix Characters(single character in one pencil box) Multi - Text Art Plastic And Magnate Pencil Box,Toys & School Supplies,School Supplies,Geometry & Pencil Boxes,Cutebaby Geometry & Pencil Boxes,Flipkart.com: Buy Cutebaby Mix Characters(single character in one pencil box) Multi - Text Art Plastic And Magnate Pencil Box only for Rs. 250 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,,,,,199.0,0.0,0,"geometry, pencil, boxes, toys, cutebaby, school, supplies",Unknown,In Stock,"cutebaby mix characters(single character in one pencil box) multi - text art plastic and magnate pencil box, geometry, pencil, boxes, toys, cutebaby, school, supplies"
NKCE96SXTC7QYUBF,ETTI ES64_GREEN Plastic Necklace,Jewellery,Necklaces & Chains,Necklaces,Necklaces,ETTI ES64_GREEN Plastic Necklace - Buy ETTI ES64_GREEN Plastic Necklace only for Rs. 250 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,,,,,250.0,0.0,0,"jewellery, chains, necklaces",ETTI,In Stock,"etti es64_green plastic necklace, jewellery, chains, necklaces"
NKCEAMDRQZKUXEYW,Jewel Touch Personality Exotic Geometric Alloy Choker,Jewellery,Necklaces & Chains,Necklaces,Necklaces,Jewel Touch Personality Exotic Geometric Alloy Choker - Buy Jewel Touch Personality Exotic Geometric Alloy Choker only for Rs. 325 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,,,,,325.0,0.0,0,"jewellery, chains, necklaces",Jewel Touch,In Stock,"jewel touch personality exotic geometric alloy choker, jewellery, chains, necklaces"
CAGE8YBG4JFWBHAX,Zuska Ignite Combo Set,Beauty and Personal Care,Fragrances,Deodorants,Combos,Flipkart.com: Buy Zuska Ignite Combo Set online only for Rs. 500 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,,,,,400.0,0.0,0,"personal, deodorants, care, fragrances, combos, beauty, and",Unknown,In Stock,"zuska ignite combo set, personal, deodorants, care, fragrances, combos, beauty, and"
NKCECNPWX3KHA4QG,Fashion Pitaraa Stainless Steel Necklace,Jewellery,Necklaces & Chains,Necklaces,Necklaces,Fashion Pitaraa Stainless Steel Necklace - Buy Fashion Pitaraa Stainless Steel Necklace only for Rs. 378 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,,,,,378.0,0.0,0,"jewellery, chains, necklaces",Fashion Pitaraa,In Stock,"fashion pitaraa stainless steel necklace, jewellery, chains, necklaces"
PBXE84AFAJEMHTTY,Starmark BTS Star Art Polyester Pencil Box,Toys & School Supplies,School Supplies,Geometry & Pencil Boxes,Starmark Geometry & Pencil Boxes,Flipkart.com: Buy Starmark BTS Star Art Polyester Pencil Box only for Rs. 99 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,,,,,99.0,0.0,0,"geometry, pencil, boxes, toys, school, starmark, supplies",Unknown,In Stock,"starmark bts star art polyester pencil box, geometry, pencil, boxes, toys, school, starmark, supplies"
CAGE76HYPAMJ7WKH,"Envy-1000 Wink,Hamilton Combo Set",Beauty and Personal Care,Fragrances,Deodorants,Combos,"Flipkart.com: Buy Envy-1000 Wink,Hamilton Combo Set online only for Rs. 370 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!",,,,,379.0,0.0,0,"personal, deodorants, care, fragrances, combos, beauty, and",Unknown,In Stock,"envy-1000 wink,hamilton combo set, personal, deodorants, care, fragrances, combos, beauty, and"
PBXECYZGYWAKWHK8,Dolphin gallery No No Art Plastic Pencil Boxes,Pens & Stationery,School Supplies,"Geometry, Pen & Pencil boxes",Pencil Boxes,Flipkart.com: Buy Dolphin gallery No No Art Plastic Pencil Boxes only for Rs. 450 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,,,,,450.0,0.0,0,"pencil, boxes, pen, school, geometry,, stationery, supplies, pens",Unknown,In Stock,"dolphin gallery no no art plastic pencil boxes, pencil, boxes, pen, school, geometry,, stationery, supplies, pens"
NKCE8QPPWEAFYVPP,Jewel Touch Mosaic Charm Alloy Necklace,Jewellery,Necklaces & Chains,Necklaces,Necklaces,"Jewel Touch Mosaic Charm Alloy Necklace Price: Rs. 440 This Jeweltouch Necklace Features A Complete Craftmanship, Framed And Mounted In An Alloy. This Necklace Is Unique Among Jewelry Accessories. Its Shape Symbolizes Love And Eternity; The Many Designs Can Commemorate Almost Any Special Occasion; And You Can Enjoy The Beauty Of A Necklace With Every Movement Of Your Hand. Most People Will Own Different Jewellery In Their Lifetime For Different Occasions, And Many Women Love To Wear Them As Fashion Accessories. This Necklace Will Add Radiance To The Natural Beauty Of A Women. If You Are Considering Buying Neck Jewelry For Yourself Or As Special Gifts, This Will Be A Perfect Gift. This Jeweltouch Necklace Features A Complete Craftmanship, Framed And Mounted In An Alloy. This Necklace Is Unique Among Jewelry Accessories. Its Shape Symbolizes Love And Eternity; The Many Designs Can Commemorate Almost Any Special Occasion; And You Can Enjoy The Beauty Of A Necklace With Every Movement Of Your Hand. Most People Will Own Different Jewellery In Their Lifetime For Different Occasions, And Many Women Love To Wear Them As Fashion Accessories. This Necklace Will Add Radiance To The Natural Beauty Of A Women. If You Are Considering Buying Neck Jewelry For Yourself Or As Special Gifts, This Will Be A Perfect Gift.",,,,,440.0,0.0,0,"jewellery, chains, necklaces",Jewel Touch,In Stock,"jewel touch mosaic charm alloy necklace, jewellery, chains, necklaces"
